SMILES,code_name
O=C([CH-]/N=C/C1=CC=CC=C1)OC,A1
O=C([CH-]/N=C/C1=CC=CC=C1)OCC,A2
O=C([CH-]/N=C/C1=CC=CC=C1)OC(C)(C)C,A3
O=C([CH-]/N=C/C1=CC=CC=C1)OCC2=CC=CC=C2,A4
O=C([C-](C)/N=C/C1=CC=CC=C1)OCC,A5
O=C([C-](CC1=CC=CC=C1)/N=C/C2=CC=CC=C2)OCC,A6
O=C([CH-]/N=C/C1=CC=CC=C1)N(C)C,A7
N#C[CH-]/N=C/C1=CC=CC=C1,A8
O=C([CH-]/N=C/C1=CC=C(OC)C=C1)OCC,A9
O=C([CH-]/N=C/C1=CC=C(C(F)(F)F)C=C1)OCC,A11
O=C([CH-]/N=C/C1=CC=CN=C1)OCC,A12
O=C([CH-]/N=C/C1=CC=C(C=CC=C2)C2=C1)OCC,A13
O=C([CH-]/N=C/C1=CC=CC2=C1C=CC=C2)OCC,A14
O=C([CH-]/N=C/C1=CC(C)=CC(C)=C1)OCC,A15
O=C([CH-]/N=C/C=C/C1=CC=CC=C1)OCC,A16
O=C([CH-]/N=C/C1CCCCC1)OCC,A17
O=C([CH-]/N=C/C(C)C)OCC,A18
O=C([CH-]/N=C(C1=CC=CC=C1)/C2=CC=CC=C2)OCC,A19
O=C([CH-]/N=C(C)/C1=CC=CC=C1)OCC,A20
O=C(OCC)[CH-]/N=C(\C=C(C)\C1=CC=CC=C1)C2=CC=CC=C2,A21
